it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Year of Manufacture,RTO,Engine,Max Power,Torque,Wheel Size,Seats,Mileage,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Value Configuration,Compression Ratio,Super Charger,BoreX Stroke,Length,Width,Height,Wheel Base,Kerb Weight,Front Tread,Rear Tread,Gross Weight,Ground Clearance Unladen,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Turning Radius,Top Speed,Acceleration,City
0,Diesel,SUV,"10,000",Automatic,1,1st Owner,Kia,Kia Seltos,2022,7121,GTX Plus Diesel AT,₹ 19 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Diesel,5 Seats,"10,000 Kms",First Owner,1493 cc,Automatic,2022,,998 CC,118.36bhp,172nm,16,5,,Black,Smartstream G1.0 T - GDi,998,118.36bhp@6000rpm,172nm@1500-4000rpm,3.0,4.0,GDi,Yes,,,,,3995mm,1790,1642,2500,1465,,,,,,,,,,7-Speed DCT,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",16,5,392,,,,Delhi
0,Petrol,SUV,"57,437",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2016,1449,1.6 VTVT S,₹ 7.62 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,May 2016,Zero Dep,Petrol,5 Seats,"57,437 Kms",Second Owner,1591 cc,Manual,2016,HR51,1196 CC,73bhp,101Nm,,7,15.37 kmpl,Grey,In-Line Engine,1196,73bhp@6000rpm,101Nm@3000rpm,4.0,4.0,MPFi,No,DOHC,9.9:1,No,,3675mm,1475mm,1800mm,2350mm,943kg,1280mm,1290mm,1540kg,,,,,,,5 Speed,RWD,7,Manual,Ventilated Disc,Drum,Tubeless Tyres,,5,540-liters,4.5 metres,145 Kmph,15.7 Seconds,Delhi
0,Petrol,SUV,"8,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,₹ 56 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Dec 2020,Comprehensive,Petrol,5 Seats,"8,000 Kms",First Owner,1991 cc,Automatic,2020,DL01,999 CC,98.63bhp,160Nm,16,5,20 kmpl,Others,HRA0 1.0 TURBO PETROL,999,98.63bhp@5000rpm,160Nm@2800-3600rpm,3.0,4.0,MPFi,Yes,SOHC,,No,72.2 x 81.3,3994mm,1758,1572,2500,1014,,,,,,,,,,5 Speed,,5,Electronic,Disc,Drum,"Tubeless,Radial",16,5,336,5.0,,11.7,Delhi
0,Petrol,Hatchback,"28,151",Manual,2,2nd Owner,Maruti,Maruti Swift,2018,10403,VXI,₹ 5.23 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2019,Comprehensive,Petrol,5 Seats,"28,151 Kms",Second Owner,1197 cc,Manual,2018,DL4C,1086 CC,68.05bhp,99.04Nm,,5,19.81 kmpl,Silver,IRDE2 Engine,1086,68.05bhp@5500rpm,99.04Nm@4500rpm,4.0,3.0,MPFI,No,SOHC,,No,,3585mm,1595mm,1550mm,2380mm,860kg,1400mm,1385mm,,,,,,,,5 Speed,FWD,5,Power,Ventilated Disc,Drum,Tubeless,,5,225-litres,4.7 metres,165 Kmph,14.3 Seconds,Delhi
0,Petrol,SUV,"60,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2017,5362,1.6 VTVT E Plus,₹ 7.65 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2017,Third Party insurance,Petrol,5 Seats,"60,000 Kms",First Owner,1591 cc,Manual,2017,DL8C,1199 CC,88.7bhp,110Nm,15,5,18.7 kmpl,Others,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,PGM - Fi,No,SOHC,,No,,3955mm,1694mm,1544mm,2530mm,1042kg,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",15,5,354-litres,5.1 meters,172 Kmph,13.7 Seconds,Delhi
0,Petrol,SUV,"20,000",Manual,1,1st Owner,Kia,Kia Sonet,2021,8000,HTK Plus BSVI,₹ 8.95 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2021,Comprehensive,Petrol,5 Seats,"20,000 Kms",First Owner,1197 cc,Manual,2021,DL9X,2143 CC,204bhp,500Nm,17,5,13 kmpl,White,In-Line Diesel Engine,2143,204bhp@4200rpm,500Nm@1600-1800rpm,4.0,4.0,CRDI,Yes,DOHC,,No,,4879mm,2071mm,1474mm,2874mm,1800kg,1598mm,1614mm,2280kg,,,,,,,7 Speed,RWD,5,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",17,4,540-litres,5.3 metres,242 Kmph,7.5 Seconds,Delhi
0,Cng,Sedan,"42,682",Manual,1,1st Owner,Hyundai,Hyundai Aura,2021,7333,S CNG,₹ 7.08 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,May 2022,Third Party,CNG,5 Seats,"42,682 Kms",First Owner,1197 cc,Manual,2021,UP14,998 CC,67.04bhp,90Nm,,5,23.1 kmpl,Blue,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,MPFi,No,DOHC,11.0:1,No,73 X 82 mm,3715mm,1635mm,1565mm,2425mm,845kg,1420mm,1410mm,1250kg,,,,,,,5 Speed ,FWD,5,Power,Ventilated Disc,Drum,"Tubeless, Radial",,5,235-litres,4.7 metres,150 Kmph,15.05 Seconds,Delhi
0,Petrol,Hatchback,"44,653",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2017,1945,1.2 MPI Trendline,₹ 4 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2017,Comprehensive,Petrol,5 Seats,"44,653 Kms",First Owner,1198 cc,Manual,2017,DL10,998 CC,66.1bhp,90Nm,13,5,19 kmpl,Grey,K Series Petrol Engine,998,66.1bhp@6200rpm,90Nm@3500rpm,3.0,4.0,MPFI,No,,10:1,No,73.0 X 79.5 mm,3500mm,1600mm,1490mm,2360mm,860-895kg,1405mm,1400mm,1320kg,,,,,,,5 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",13,5,,4.5metres,,,Delhi
0,Cng,Hatchback,"7,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,10098,Magna CNG,₹ 7.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2022,Comprehensive,CNG,5 Seats,"7,000 Kms",First Owner,1197 cc,Manual,2022,DL3C,1995 CC,187.7bhp,400Nm,R19,5,16.55 kmpl,Grey,TwinPower Turbo 4-cylinder engine,1995,187.7bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,CRDi,Yes,DOHC,,No,,4708mm,1891mm,1676mm,2864mm,1690,1620mm,1636mm,,,,,,,,8 Speed,AWD,5,Power,Disc,Disc,"Tubeless,Radial",R19,5,485,5.95 metres,213 kmph,8 Seconds,Delhi
0,Petrol,Hatchback,"67,823",Manual,1,1st Owner,Maruti,Maruti Baleno,2019,6776,Alpha,₹ 6.63 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2019,Third Party insurance,Petrol,5 Seats,"67,823 Kms",First Owner,1197 cc,Manual,2019,UP16,1497 CC,121.36bhp,150Nm,16,5,14.8 kmpl,Black,Ti-VCT Petrol Engine,1497,121.36bhp@6500rpm,150Nm@4500rpm,3.0,4.0,Direct Injection,No,DOHC,11.0:1,No,79 X 76.5 mm,3998mm,1765mm,1647mm,2519mm,1320Kg,,,1705Kg,,,,,,,6 Speed,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",16,4,352-litres,5.3 meters,171.43 kmph,12.51 Seconds,Delhi
0,Petrol,Hatchback,"50,000",Automatic,1,1st Owner,Honda,Honda Brio,2014,1193,VX AT,₹ 3.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2014,Comprehensive,Petrol,5 Seats,"50,000 Kms",First Owner,1198 cc,Automatic,2014,DL04,1197 CC,81.80bhp,114.74Nm,16,5,21 kmpl,Blue,1.2 l Kappa petrol,1197,81.80bhp@6000rpm,114.74Nm@4200rpm,4.0,4.0,,No,,,,,3995mm,1775mm,1505mm,2580mm,1170,,,,,,,,,,5 Speed,,5,Electric,Disc,Drum,"Tubeless, Radial",16,5,311,,,,Delhi
0,Diesel,SUV,"97,055",Manual,1,1st Owner,Nissan,Nissan Kicks,2019,6760,XV D BSIV,₹ 7.84 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2019,Comprehensive,Diesel,5 Seats,"97,055 Kms",First Owner,1461 cc,Manual,2019,Up15,1199 CC,88.7bhp,110Nm,15,5,18.2 kmpl,Silver,i-VTEC Petrol Engine,1199,88.7bhp@6000rpm,110Nm@4800rpm,4.0,4.0,PGM - Fi,No,SOHC,,No,,3955 mm,1694 mm,1544 mm,2530 mm,1066 Kg,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",15,5,354-litres,5.1 meters,172 Kmph,13.7 Seconds,Delhi
0,Petrol,Sedan,"1,14,000",Automatic,1,1st Owner,Toyota,Toyota Camry,2017,5636,2.5 Hybrid,₹ 21 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2017,Comprehensive,Petrol,5 Seats,"1,14,000 Kms",First Owner,2494 cc,Automatic,2017,DL3C,1995 CC,187.74bhp,400Nm,17,5,20.37 kmpl,White,TwinPower Turbo 4 Cylinder Engine,1995,187.74bhp@4000rpm,400Nm@1750-2500rpm,4.0,4.0,CRDi,Yes,DOHC,,No,,4709mm,1827mm,1435mm,2810 mm,1560,1589mm,1583 mm,,,,,,,,8 Speed,RWD,5,Power,Disc,Disc,"Tubeless,Radial",17,4,480-litres,5.5 metres,243Kmph,6.8,Delhi
0,Diesel,SUV,"24,000",Manual,1,1st Owner,Kia,Kia Sonet,2022,8059,1.5 GTX Plus Diesel DT,₹ 13.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2022,Zero Dep,Diesel,5 Seats,"24,000 Kms",First Owner,1493 cc,Manual,2022,DL10,1197 CC,81.80bhp,113Nm,,5,22 kmpl,Others,VTVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,MPFi,No,,,No,73 x 72 mm,3840mm,1735mm,1530mm,2450mm,860Kg,1530mm,1530mm,1315kg,,,,,,,5,,5,Power,Disc,Drum,Tubeless,,5,268,4.8 Meters,,,Delhi
0,Diesel,Sedan,"30,000",Automatic,1,1st Owner,BMW,BMW 5 Series,2016,5871,520d Luxury Line,₹ 23.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jul 2016,Third Party insurance,Diesel,5 Seats,"30,000 Kms",First Owner,1995 cc,Automatic,2016,DL01,1197 CC,81.86bhp,113.75nm,,5,18.9 kmpl,White,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,MPFI,No,DOHC,,No,,3765mm,1660mm,1520mm,2425mm,1100,1479mm,1493mm,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,256,4.8 metres,165 Kmph,12.9 Seconds,Delhi
0,Electric,Hatchback,"6,000",Automatic,1,1st Owner,Mini,Mini Cooper SE,2023,8669,Electric,₹ 46 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2023,Comprehensive,Electric,4 Seats,"6,000 Kms",First Owner,0 cc,Automatic,2023,DL03,1497 CC,108.5bhp,260Nm,,5,21.5 kmpl,Orange,"Revotorq, 1.5L Turbocharged engine",1497,108.5bhp@3750rpm,260Nm@1500-2750rpm,4.0,4.0,CDI,Yes,DOHC,,No,76x82.5,3994mm,1811mm,1607mm,2498mm,1305Kg,1540 mm,1530 mm,,209 mm,,,,,,6 Speed,FWD,5,Power,Disc,Drum,Tubeless Radial Tyres,,5,350,5.1m,,13.25 Seconds,Delhi
0,Petrol,MUV,"7,000",Manual,1,1st Owner,Toyota,Toyota Innova Crysta,2022,8187,2.7 VX 7 STR,₹ 22.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2023,Comprehensive,Petrol,7 Seats,"7,000 Kms",First Owner,2694 cc,Manual,2022,HR26,1956 CC,167.67bhp,350Nm,17,5,17.1 kmpl,White,2.0L Multijet Diesel,1956,167.67bhp@3750rpm,350Nm@1750-2500rpm,4.0,4.0,,Yes,,,,,4405mm,1818mm,1640mm,2636mm,1565,,,,,,,,,,6 Speed,4x2,5,Power,Disc,Disc,"Tubeless, Radial",17,5,,,,,Delhi
0,Diesel,SUV,"34,000",Automatic,1,1st Owner,MG,MG Gloster,2021,8091,Sharp 7-Str,₹ 35 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2021,Comprehensive,Diesel,7 Seats,"34,000 Kms",First Owner,1996 cc,Automatic,2021,DL2C,1497 CC,117.3bhp,145Nm,15,5,17.4 kmpl,Brown,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,SOHC,10.3:1,No,73.0 X 89.4 mm,4440mm,1695mm,1495mm,2600mm,1065kg,1480mm,1465mm,,,,,,,,5 Speed ,FWD,5,Power,Disc,Drum,"Tubeless,Radial",15,4,510-litres,5.3 metres,195 Kmph,10 Seconds,Delhi
0,Diesel,SUV,"29,000",Automatic,1,1st Owner,BMW,BMW X1,2013,337,sDrive 20d Sportline,₹ 9 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2013,Third Party insurance,Diesel,5 Seats,"29,000 Kms",First Owner,1995 cc,Automatic,2013,UP21,2755 CC,201.15bhp,420Nm,17,7,,White,2.8 L Diesel engine,2755,201.15bhp@3400rpm,420Nm@1400-3400rpm,4.0,4.0,Direct Injection,Yes,DOHC,,,,4795mm,1855mm,1835mm,2745mm,2220,,,2610kg,,,,,,,6 Speed iMT,2WD,7,,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",17,5,,5.8,,,Delhi
0,Petrol,SUV,"38,000",Automatic,1,1st Owner,Mercedes-Benz,Mercedes-Benz GLC,2020,6837,200,₹ 52.45 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Dec 2020,Comprehensive,Petrol,5 Seats,"38,000 Kms",First Owner,1991 cc,Automatic,2020,DL09,1198 CC,86.7bhp,109Nm,,5,18 kmpl,White,i-VTEC Petrol Engine,1198,86.7bhp@6000rpm,109Nm@4500rpm,4.0,4.0,,No,SOHC,,No,,3990mm,1680mm,1505mm,2405mm,940kg,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,4,400-litres,4.5 metres,160 Kmph,15 Seconds,Delhi
0,Diesel,SUV,"1,50,000",Manual,1,1st Owner,Tata,Tata Safari Storme,2013,2876,EX,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2013,Third Party insurance,Diesel,7 Seats,"1,50,000 Kms",First Owner,2179 cc,Manual,2013,UK07,998 CC,68.05bhp,94.14Nm,,5,20.3 kmpl,Others,Kappa Engine,998,68.05bhp@6200rpm,94.14Nm@3500rpm,3.0,4.0,MPFI,No,SOHC,,No,,3515mm,1550mm,1510mm,2380mm,880,1376mm,1458mm,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,215-litres,4.6 metres,140 Kmph,15 Seconds,Delhi
0,Diesel,SUV,"83,329",Manual,1,1st Owner,Hyundai,Hyundai Venue,2019,6949,SX Opt Diesel BSIV,₹ 8.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2019,Comprehensive,Diesel,5 Seats,"83,329 Kms",First Owner,1396 cc,Manual,2019,HR51,1198 CC,86.7bhp,109Nm,,5,18 kmpl,Silver,i-VTEC Petrol Engine,1198,86.7bhp@6000rpm,109Nm@4500rpm,4.0,4.0,,No,SOHC,,No,,3990mm,1680mm,1505mm,2405mm,950kg,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,4,400-litres,4.5 metres,160 Kmph,15 Seconds,Delhi
