it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,BoreX Stroke,Compression Ratio,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,BoreX Stroke,Compression Ratio,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,BoreX Stroke,Compression Ratio,City
0,Diesel,Hatchback,"1,20,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2015,1487,Asta 1.4 CRDi,₹ 5.10 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2015,Third Party insurance,Diesel,5 Seats,"1,20,000 Kms",RJ13,Second Owner,1396 cc,Manual,2015.0,22.54 kmpl,1396 CC,88.73bhp,219.7Nm,16,5,Others,U2 CRDI Diesel Engine,1396,88.73bhp@4000rpm,219.7Nm@1500-2750rpm,4.0,4.0,DOHC,CRDI,Yes,No,,,Others,U2 CRDI Diesel Engine,1396,88.73bhp@4000rpm,219.7Nm@1500-2750rpm,4.0,4.0,DOHC,CRDI,Yes,No,,,Others,U2 CRDI Diesel Engine,1396,88.73bhp@4000rpm,219.7Nm@1500-2750rpm,4.0,4.0,DOHC,CRDI,Yes,No,,,Jaipur
0,Petrol,Hatchback,"66,951",Manual,1,1st Owner,Maruti,Maruti Swift,2012,10403,VXI,₹ 3.81 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2012,Third Party,Petrol,5 Seats,"66,951 Kms",RJ14,First Owner,1197 cc,Manual,2012.0,22.38 kmpl,1197 CC,88.50bhp,113Nm,,5,White,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,White,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,White,K Series Dual jet,1197,88.50bhp@6000rpm,113Nm@4400rpm,4.0,4.0,,,,,,,Jaipur
0,Petrol,Hatchback,"80,000",Automatic,2,2nd Owner,Maruti,Maruti Celerio,2016,3982,VXI AT,₹ 3.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2016,Third Party insurance,Petrol,5 Seats,"80,000 Kms",RJ14,Second Owner,998 cc,Automatic,2016.0,23.1 kmpl,998 CC,67.04bhp,90Nm,,5,Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,73 X 82 mm,11.0:1,Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,73 X 82 mm,11.0:1,Others,K10B Engine,998,67.04bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,No,No,73 X 82 mm,11.0:1,Jaipur
0,Petrol,Hatchback,"44,392",Manual,1,1st Owner,Hyundai,Hyundai Grand i10,2017,5602,1.2 Kappa Magna BSIV,₹ 4.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2017,Third Party insurance,Petrol,5 Seats,"44,392 Kms",RJ14,First Owner,1197 cc,Manual,2017.0,18.9 kmpl,1197 CC,81.86bhp,113.75nm,,5,Silver,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,,,Silver,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,,,Silver,Kappa VTVT Petrol Engine,1197,81.86bhp@6000rpm,113.75nm@4000rpm,4.0,4.0,DOHC,MPFI,No,No,,,Jaipur
0,Petrol,Hatchback,"40,000",Automatic,1,1st Owner,Maruti,Maruti Wagon R,2016,4319,AMT VXI,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2016,Third Party insurance,Petrol,5 Seats,"40,000 Kms",RJ14,First Owner,998 cc,Automatic,2016.0,20.51 kmpl,998 CC,67bhp,90Nm,,5,Silver,K10B Petrol Engine,998,67bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,69 x 72 mm,,Silver,K10B Petrol Engine,998,67bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,69 x 72 mm,,Silver,K10B Petrol Engine,998,67bhp@6000rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,69 x 72 mm,,Jaipur
0,Diesel,Sedan,"1,50,000",Manual,2,2nd Owner,Hyundai,Hyundai Verna,2007,1796,CRDi,₹ 1.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2007,Third Party insurance,Diesel,5 Seats,"1,50,000 Kms",,Second Owner,1493 cc,Manual,2007.0,16.8 kmpl,1493 CC,110 ,24 ,14,5,Gray,In-Line Engine,1493,"110 @ 4,000 (PS@rpm)","24 @ 1,900-2,750 (kgm@rpm)",4.0,4.0,DOHC,CRDI,No,No,75 x 87 mm,17.8:1,Gray,In-Line Engine,1493,"110 @ 4,000 (PS@rpm)","24 @ 1,900-2,750 (kgm@rpm)",4.0,4.0,DOHC,CRDI,No,No,75 x 87 mm,17.8:1,Gray,In-Line Engine,1493,"110 @ 4,000 (PS@rpm)","24 @ 1,900-2,750 (kgm@rpm)",4.0,4.0,DOHC,CRDI,No,No,75 x 87 mm,17.8:1,Jaipur
0,Petrol,Sedan,"91,771",Manual,2,2nd Owner,Hyundai,Hyundai Xcent,2016,1861,1.2 Kappa S Celebration Edition,₹ 4.89 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jul 2016,Comprehensive,Petrol,5 Seats,"91,771 Kms",RJ32,Second Owner,1197 cc,Manual,2016.0,19.1 kmpl,1197 CC,82bhp,114Nm,,5,White,Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,Direct Injection,No,No,,,White,Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,Direct Injection,No,No,,,White,Kappa VTVT Petrol Engine,1197,82bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,Direct Injection,No,No,,,Jaipur
0,Diesel,Sedan,"90,000",Automatic,1,1st Owner,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,₹ 4.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2011,Third Party insurance,Diesel,5 Seats,"90,000 Kms",RJ14,First Owner,1968 cc,Automatic,2011.0,17.2 kmpl,1968 CC,138.1bhp,320Nm,16,5,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,,,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,,,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,,,Jaipur
0,Diesel,SUV,"58,621",Automatic,1,1st Owner,BMW,BMW X1,2014,345,sDrive20d,₹ 13.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2014,Comprehensive,Diesel,5 Seats,"58,621 Kms",DL02,First Owner,1995 cc,Automatic,2014.0,17.05 kmpl,1995 CC,184bhp,380Nm,17,5,Brown,sDrive20d Diesel Engine,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,Yes,No,,,Brown,sDrive20d Diesel Engine,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,Yes,No,,,Brown,sDrive20d Diesel Engine,1995,184bhp@4000rpm,380Nm@1750-2750rpm,4.0,4.0,,CRDi,Yes,No,,,Jaipur
0,Diesel,Sedan,"90,000",Automatic,1,1st Owner,Skoda,Skoda Superb,2011,3217,Elegance 2.0 TDI CR AT,₹ 4.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2011,Third Party insurance,Diesel,5 Seats,"90,000 Kms",RJ14,First Owner,1968 cc,Automatic,2011.0,17.2 kmpl,1968 CC,138.1bhp,320Nm,16,5,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,,,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,,,Others,Turbocharged Diesel Engin,1968,138.1bhp@4200rpm,320Nm@1750-2500rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,,,Jaipur
