Fuel_Type,Body_Type,transmission,ownerNo,Brand,model,modelYear,price,Insurance_Validity,Kms_Driven,Mileage,Engine,Seats,Color,City
Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,400000.0,Third Party insurance,120000.0,23.1,998,5,White,Bangalore
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,811000.0,Comprehensive,32706.0,17.0,1497,5,White,Bangalore
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2018,585000.0,Comprehensive,11949.0,23.84,1199,5,Red,Bangalore
Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2014,462000.0,Comprehensive,17794.0,19.1,1197,5,Others,Bangalore
Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,790000.0,Third Party insurance,60000.0,23.65,1248,5,Gray,Bangalore
Diesel,SUV,Manual,1,Jeep,Jeep Compass,2020,1900000.0,Third Party insurance,20000.0,17.1,1956,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Datsun,Datsun GO,2017,345000.0,Comprehensive,37772.0,20.63,1198,5,Grey,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2021,1200000.0,Third Party insurance,30000.0,18.15,998,5,Others,Bangalore
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,960000.0,Comprehensive,37000.0,20.28,1462,5,Maroon,Bangalore
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2017,585000.0,Comprehensive,11949.0,23.84,1199,5,Red,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,690000.0,Third Party insurance,50000.0,21.4,1197,5,Red,Bangalore
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2019,682000.0,Third Party insurance,24887.0,18.9,1197,5,Orange,Bangalore
Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,825000.0,Comprehensive,23000.0,18.2,1199,5,Grey,Bangalore
Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2018,595000.0,Comprehensive,48928.0,23.84,1199,5,Red,Bangalore
Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,2014,690000.0,Comprehensive,108862.0,15.1,2179,7,Silver,Bangalore
Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,1350000.0,Third Party insurance,80000.0,17.1,1956,5,Others,Bangalore
Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000.0,Comprehensive,16000.0,19.260860166288737,1950,5,Blue,Bangalore
Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,521000.0,Comprehensive,65376.0,21.27,1396,5,Blue,Bangalore
Petrol,SUV,Manual,1,Tata,Tata Nexon,2022,1005000.0,Third Party insurance,10000.0,17.33,1199,5,Others,Bangalore
Petrol,Sedan,Manual,2,Honda,Honda City,2016,775000.0,Comprehensive,67000.0,17.8,1497,5,Brown,Bangalore
Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,2011,2200000.0,Third Party insurance,100000.0,18.48,1995,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2016,582000.0,Comprehensive,18083.0,22.38,1197,5,Silver,Bangalore
Petrol,SUV,Manual,1,Renault,Renault Duster,2020,1090000.0,Third Party insurance,30000.0,16.42,1498,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2016,457000.0,Comprehensive,57634.0,23.84,1199,5,Silver,Bangalore
Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000.0,Third Party insurance,50000.0,7.81,4663,5,Others,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2015,550000.0,Third Party insurance,110000.0,17.4,1497,5,Others,Bangalore
